OrderId,OrderDate,CustomerName,ProductCode,Quantity,UnitPrice,SalesChannel
3308,2026-03-21,Litware Foods,P004,7,5200,Enterprise
3309,2026-03-04,Adventure Works Gov,P027,2,3400,Government
3310,2026-03-20,Anchor Health,P014,5,700,Enterprise
3311,2026-03-18,Proseware Dynamics,P037,8,700,Government
3312,2026-03-04,Graphic Design Institute Dynamics,P031,7,1800,Commercial
3313,2026-03-24,Relecloud Health,P014,4,700,Enterprise
3314,2026-03-18, Pinnacle Dynamics ,P030,7,900,Commercial
3315,2026-03-06,Pinnacle Systems,P025,10,900,Enterprise
3316,2026-03-04,Margie's Travel Solutions,P032,1,900,Government
3317,2026-03-21,Tailspin Dynamics,P005,8,1800,Government
3318,2026-03-17,Pinnacle Systems,P015,7,1800,Commercial
3319,2026-03-03,Granite Partners,P010,2,1800,Government
3320,2026-03-04,VanArsdel Insurance,P027,5,3400,Commercial
3321,2026-03-27,Redwood Media,P040,4,2200,Commercial
3322,2026-03-28,Cobalt Holdings,P020,5,2200,Enterprise
3323,2026-03-11,Wide World Logistics,P009,3,700,Government
3324,2026-03-03,Anchor Manufacturing,P039,2,2200,Government
3325,2026-03-21,Lucerne Publishing Gov,P016,7,3400,Enterprise
3326,2026-03-28,Cobalt Group,P034,8,2200,Government
3327,2026-03-10,Contoso Defense,P038,10,3400,Government
3328,2026-03-05,Cascade Insurance,P008,1,2200,Commercial
3329,2026-03-20,Graphic Design Institute Telecom,P026,4,5200,Commercial
3330,2026-03-02,VanArsdel Insurance,P032,5,700,Government
3331,2026-03-25,Woodgrove Energy,P011,3,1800,Enterprise
3332,2026-03-22,Fabrikam Telecom,P014,3,1200,Commercial
3333,2026-03-18,Wide World Logistics,P024,3,1800,Enterprise
3334,2026-03-05,Cascade Dynamics,P031,8,1800,Commercial
3335,2026-03-12,Graphic Design Institute Utilities,P012,1,700,Commercial
3336,2026-03-21,Meridian Financial,P035,3,700,Enterprise
3337,2026-03-11,Wide World Logistics,P019,3,700,Government
3338,2026-03-27,Northwind Energy,P018,2,700,Commercial
3339,2026-03-24,City Power Airlines,P002,8,900,Commercial
3340,2026-03-20,Meridian Financial,P010,5,900,Commercial
3341,2026-03-14,Lucerne Publishing Labs,P010,2,1800,Enterprise
3342,2026-03-26,Pinnacle Insurance,P001,6,2200,Enterprise
3343,2026-03-21,Relecloud Group,P020,5,3400,Government
3344,2026-03-20,Trey Research Holdings,P017,1,900,Government
3345,2026-03-15,Adventure Works Solutions,P013,1,1800,Government
3346,2026-03-26,Margie's Travel Solutions,P004,4,1800,Government
3347,2026-03-20,Anchor Dynamics,P035,9,1800,Commercial
3348,2026-03-23,Redwood Systems,P032,9,1200,Commercial
3349,2026-03-19,Graphic Design Institute Telecom,P017,5,1200,Commercial
3350,2026-03-24,Northwind Health,P021,8,900,Government
