TargetMonth,TerritoryKey,ProductCategory,TargetSalesAmount
2024-08-01,T04,Operations,4400
2024-09-01,T01,Security,5800
2024-09-01,T01,Analytics,7200
2024-09-01,T01,Integration,8500
2024-09-01,T01,Operations,8600
2024-09-01,T02,Security,5800
2024-09-01,T02,Analytics,6300
2024-09-01,T02,Integration,7200
2024-09-01,T02,Operations,6800
2024-09-01,T03,Security,4500
2024-09-01,T03,Analytics,5500
2024-09-01,T03,Integration,5300
2024-09-01,T03,Operations,6400
2024-09-01,T04,Security,3600
2024-09-01,T04,Analytics,4200
2024-09-01,T04,Integration,4400
2024-09-01,T04,Operations,4800
2024-10-01,T01,Security,6400
2024-10-01,T01,Analytics,8100
2024-10-01,T01,Integration,8400
2024-10-01,T01,Operations,9900
2024-10-01,T02,Security,5200
2024-10-01,T02,Analytics,6700
2024-10-01,T02,Integration,6900
2024-10-01,T02,Operations,8100
2024-10-01,T03,Security,4400
2024-10-01,T03,Analytics,5800
2024-10-01,T03,Integration,5700
2024-10-01,T03,Operations,6600
2024-10-01,T04,Security,3500
2024-10-01,T04,Analytics,4200
2024-10-01,T04,Integration,4800
2024-10-01,T04,Operations,4800
2024-11-01,T01,Security,7400
2024-11-01,T01,Analytics,7700
2024-11-01,T01,Integration,8400
2024-11-01,T01,Operations,11100
2024-11-01,T02,Security,5900
2024-11-01,T02,Analytics,6900
2024-11-01,T02,Integration,7500
2024-11-01,T02,Operations,8600
2024-11-01,T03,Security,5400
2024-11-01,T03,Analytics,5600
2024-11-01,T03,Integration,6100
2024-11-01,T03,Operations,7200
2024-11-01,T04,Security,4300
2024-11-01,T04,Analytics,4300
2024-11-01,T04,Integration,5200
2024-11-01,T04,Operations,5500
2024-12-01,T01,Security,7700
2024-12-01,T01,Analytics,9300
2024-12-01,T01,Integration,9900
2024-12-01,T01,Operations,11300
2024-12-01,T02,Security,7000
2024-12-01,T02,Analytics,8600
2024-12-01,T02,Integration,9000
2024-12-01,T02,Operations,9400
2024-12-01,T03,Security,6300
2024-12-01,T03,Analytics,6200
2024-12-01,T03,Integration,7300
2024-12-01,T03,Operations,8700
2024-12-01,T04,Security,4500
2024-12-01,T04,Analytics,5200
2024-12-01,T04,Integration,5200
2024-12-01,T04,Operations,6100
2025-01-01,T01,Security,5500
2025-01-01,T01,Analytics,6500
2025-01-01,T01,Integration,6900
2025-01-01,T01,Operations,8000
2025-01-01,T02,Security,5200
2025-01-01,T02,Analytics,5300
2025-01-01,T02,Integration,6400
2025-01-01,T02,Operations,6500
2025-01-01,T03,Security,4300
2025-01-01,T03,Analytics,4400
2025-01-01,T03,Integration,5700
2025-01-01,T03,Operations,5900
2025-01-01,T04,Security,3100
2025-01-01,T04,Analytics,3600
2025-01-01,T04,Integration,4200
2025-01-01,T04,Operations,4900
2025-02-01,T01,Security,6200
2025-02-01,T01,Analytics,6700
2025-02-01,T01,Integration,7600
2025-02-01,T01,Operations,7900
2025-02-01,T02,Security,5400
2025-02-01,T02,Analytics,6400
2025-02-01,T02,Integration,5900
2025-02-01,T02,Operations,6900
2025-02-01,T03,Security,4500
2025-02-01,T03,Analytics,5100
2025-02-01,T03,Integration,5000
2025-02-01,T03,Operations,6100
2025-02-01,T04,Security,3600
2025-02-01,T04,Analytics,3800
2025-02-01,T04,Integration,4100
2025-02-01,T04,Operations,5000
2025-03-01,T01,Security,6000
2025-03-01,T01,Analytics,7400
2025-03-01,T01,Integration,7300
2025-03-01,T01,Operations,8500
2025-03-01,T02,Security,6000
2025-03-01,T02,Analytics,6300
2025-03-01,T02,Integration,6500
2025-03-01,T02,Operations,7600
2025-03-01,T03,Security,4300
2025-03-01,T03,Analytics,4900
2025-03-01,T03,Integration,5900
2025-03-01,T03,Operations,5900
2025-03-01,T04,Security,3600
2025-03-01,T04,Analytics,4100
2025-03-01,T04,Integration,4400
2025-03-01,T04,Operations,4800
2025-04-01,T01,Security,6700
2025-04-01,T01,Analytics,7800
2025-04-01,T01,Integration,9300
2025-04-01,T01,Operations,8700
2025-04-01,T02,Security,5900
2025-04-01,T02,Analytics,6600
2025-04-01,T02,Integration,7600
2025-04-01,T02,Operations,7800
2025-04-01,T03,Security,5000
2025-04-01,T03,Analytics,5700
2025-04-01,T03,Integration,6500
2025-04-01,T03,Operations,7200
2025-04-01,T04,Security,3900
2025-04-01,T04,Analytics,4000
2025-04-01,T04,Integration,4500
2025-04-01,T04,Operations,5400
2025-05-01,T01,Security,6700
2025-05-01,T01,Analytics,7900
2025-05-01,T01,Integration,8100
2025-05-01,T01,Operations,9200
2025-05-01,T02,Security,6200
2025-05-01,T02,Analytics,6100
2025-05-01,T02,Integration,7700
2025-05-01,T02,Operations,9000
2025-05-01,T03,Security,5400
2025-05-01,T03,Analytics,5700
2025-05-01,T03,Integration,6700
2025-05-01,T03,Operations,7300
2025-05-01,T04,Security,3600
2025-05-01,T04,Analytics,4800
2025-05-01,T04,Integration,5200
2025-05-01,T04,Operations,5600
2025-06-01,T01,Security,6800
2025-06-01,T01,Analytics,7600
2025-06-01,T01,Integration,8500
2025-06-01,T01,Operations,8400
2025-06-01,T02,Security,5800
2025-06-01,T02,Analytics,6100
2025-06-01,T02,Integration,7300
2025-06-01,T02,Operations,8100
2025-06-01,T03,Security,4400
2025-06-01,T03,Analytics,5100
2025-06-01,T03,Integration,6300
2025-06-01,T03,Operations,6000
2025-06-01,T04,Security,3700
2025-06-01,T04,Analytics,4200
2025-06-01,T04,Integration,4700
2025-06-01,T04,Operations,4800
2025-07-01,T01,Security,5900
2025-07-01,T01,Analytics,6700
2025-07-01,T01,Integration,7400
2025-07-01,T01,Operations,8200
2025-07-01,T02,Security,5600
2025-07-01,T02,Analytics,5800
2025-07-01,T02,Integration,6000
2025-07-01,T02,Operations,7500
2025-07-01,T03,Security,4100
2025-07-01,T03,Analytics,5200
2025-07-01,T03,Integration,5700
2025-07-01,T03,Operations,5400
2025-07-01,T04,Security,3500
2025-07-01,T04,Analytics,4200
2025-07-01,T04,Integration,4000
2025-07-01,T04,Operations,5200
2025-08-01,T01,Security,6200
2025-08-01,T01,Analytics,6600
2025-08-01,T01,Integration,7500
2025-08-01,T01,Operations,8000
2025-08-01,T02,Security,4800
2025-08-01,T02,Analytics,6100
2025-08-01,T02,Integration,6400
2025-08-01,T02,Operations,7000
2025-08-01,T03,Security,4400
2025-08-01,T03,Analytics,5200
2025-08-01,T03,Integration,5700
2025-08-01,T03,Operations,6600
2025-08-01,T04,Security,3700
2025-08-01,T04,Analytics,3900
2025-08-01,T04,Integration,4300
2025-08-01,T04,Operations,5200
2025-09-01,T01,Security,6700
2025-09-01,T01,Analytics,8200
2025-09-01,T01,Integration,9100
2025-09-01,T01,Operations,9200
2025-09-01,T02,Security,5700
2025-09-01,T02,Analytics,7300
2025-09-01,T02,Integration,8400
2025-09-01,T02,Operations,8400
2025-09-01,T03,Security,5700
2025-09-01,T03,Analytics,5500
2025-09-01,T03,Integration,6900
2025-09-01,T03,Operations,7500
2025-09-01,T04,Security,4400
2025-09-01,T04,Analytics,4600
2025-09-01,T04,Integration,4700
2025-09-01,T04,Operations,6100
2025-10-01,T01,Security,8200
2025-10-01,T01,Analytics,9400
2025-10-01,T01,Integration,9200
2025-10-01,T01,Operations,11200
2025-10-01,T02,Security,6100
2025-10-01,T02,Analytics,7000
2025-10-01,T02,Integration,7800
2025-10-01,T02,Operations,9800
2025-10-01,T03,Security,5300
2025-10-01,T03,Analytics,6800
2025-10-01,T03,Integration,7200
2025-10-01,T03,Operations,7100
2025-10-01,T04,Security,4100
2025-10-01,T04,Analytics,4900
2025-10-01,T04,Integration,5400
2025-10-01,T04,Operations,6100
2025-11-01,T01,Security,9000
2025-11-01,T01,Analytics,9400
2025-11-01,T01,Integration,10700
2025-11-01,T01,Operations,10700
2025-11-01,T02,Security,7400
2025-11-01,T02,Analytics,7600
2025-11-01,T02,Integration,8400
2025-11-01,T02,Operations,11000
2025-11-01,T03,Security,6300
2025-11-01,T03,Analytics,6600
2025-11-01,T03,Integration,7600
2025-11-01,T03,Operations,7800
2025-11-01,T04,Security,5100
2025-11-01,T04,Analytics,5000
2025-11-01,T04,Integration,5900
2025-11-01,T04,Operations,6600
2025-12-01,T01,Security,10100
2025-12-01,T01,Analytics,10400
2025-12-01,T01,Integration,12500
2025-12-01,T01,Operations,12200
2025-12-01,T02,Security,8400
2025-12-01,T02,Analytics,9500
2025-12-01,T02,Integration,10900
2025-12-01,T02,Operations,11300
2025-12-01,T03,Security,7000
2025-12-01,T03,Analytics,7800
2025-12-01,T03,Integration,9100
2025-12-01,T03,Operations,10000
2025-12-01,T04,Security,5600
2025-12-01,T04,Analytics,5800
2025-12-01,T04,Integration,6300
2025-12-01,T04,Operations,6800
2026-01-01,T01,Security,6200
2026-01-01,T01,Analytics,7100
2026-01-01,T01,Integration,7800
2026-01-01,T01,Operations,8900
2026-01-01,T02,Security,6100
2026-01-01,T02,Analytics,6600
2026-01-01,T02,Integration,7400
2026-01-01,T02,Operations,7900
2026-01-01,T03,Security,5200
2026-01-01,T03,Analytics,5200
2026-01-01,T03,Integration,6500
2026-01-01,T03,Operations,7200
2026-01-01,T04,Security,3800
2026-01-01,T04,Analytics,4300
2026-01-01,T04,Integration,5300
2026-01-01,T04,Operations,5100
2026-02-01,T01,Security,6700
2026-02-01,T01,Analytics,8000
2026-02-01,T01,Integration,9400
2026-02-01,T01,Operations,10300
2026-02-01,T02,Security,6500
2026-02-01,T02,Analytics,6900
2026-02-01,T02,Integration,8100
2026-02-01,T02,Operations,8200
2026-02-01,T03,Security,4800
2026-02-01,T03,Analytics,6100
2026-02-01,T03,Integration,6200
2026-02-01,T03,Operations,6300
2026-02-01,T04,Security,3800
2026-02-01,T04,Analytics,4400
2026-02-01,T04,Integration,4900
2026-02-01,T04,Operations,5200
2026-03-01,T01,Security,8100
2026-03-01,T01,Analytics,8400
2026-03-01,T01,Integration,9000
2026-03-01,T01,Operations,9200
2026-03-01,T02,Security,6500
2026-03-01,T02,Analytics,7100
2026-03-01,T02,Integration,8500
2026-03-01,T02,Operations,9300
2026-03-01,T03,Security,5600
2026-03-01,T03,Analytics,5400
2026-03-01,T03,Integration,6200
2026-03-01,T03,Operations,7300
2026-03-01,T04,Security,4400
2026-03-01,T04,Analytics,5200
2026-03-01,T04,Integration,5400
2026-03-01,T04,Operations,5900
2026-04-01,T01,Security,8000
2026-04-01,T01,Analytics,9300
2026-04-01,T01,Integration,9600
2026-04-01,T01,Operations,11500
2026-04-01,T02,Security,7100
2026-04-01,T02,Analytics,7200
2026-04-01,T02,Integration,7800
2026-04-01,T02,Operations,9700
2026-04-01,T03,Security,5900
2026-04-01,T03,Analytics,6000
2026-04-01,T03,Integration,7400
2026-04-01,T03,Operations,7400
2026-04-01,T04,Security,4700
2026-04-01,T04,Analytics,5500
2026-04-01,T04,Integration,5100
2026-04-01,T04,Operations,6800
2026-05-01,T01,Security,8400
2026-05-01,T01,Analytics,8300
2026-05-01,T01,Integration,9000
2026-05-01,T01,Operations,10900
2026-05-01,T02,Security,6400
2026-05-01,T02,Analytics,7000
2026-05-01,T02,Integration,7900
2026-05-01,T02,Operations,9000
2026-05-01,T03,Security,6200
2026-05-01,T03,Analytics,5900
2026-05-01,T03,Integration,7200
2026-05-01,T03,Operations,8400
2026-05-01,T04,Security,5000
2026-05-01,T04,Analytics,5100
2026-05-01,T04,Integration,5400
2026-05-01,T04,Operations,5800
2026-06-01,T01,Security,7700
2026-06-01,T01,Analytics,8800
2026-06-01,T01,Integration,10000
2026-06-01,T01,Operations,9500
2026-06-01,T02,Security,6100
2026-06-01,T02,Analytics,7700
2026-06-01,T02,Integration,7800
2026-06-01,T02,Operations,9200
2026-06-01,T03,Security,5300
2026-06-01,T03,Analytics,5700
2026-06-01,T03,Integration,6900
2026-06-01,T03,Operations,7200
2026-06-01,T04,Security,4300
2026-06-01,T04,Analytics,5200
2026-06-01,T04,Integration,5500
2026-06-01,T04,Operations,6200
2026-07-01,T01,Security,6800
2026-07-01,T01,Analytics,7900
2026-07-01,T01,Integration,8200
2026-07-01,T01,Operations,8900
2026-07-01,T02,Security,5500
2026-07-01,T02,Analytics,6200
2026-07-01,T02,Integration,7200
2026-07-01,T02,Operations,7400
2026-07-01,T03,Security,5000
2026-07-01,T03,Analytics,6000
2026-07-01,T03,Integration,6600
2026-07-01,T03,Operations,6800
2026-07-01,T04,Security,4000
2026-07-01,T04,Analytics,4900
2026-07-01,T04,Integration,5100
2026-07-01,T04,Operations,5100
2026-08-01,T01,Security,7500
2026-08-01,T01,Analytics,8400
2026-08-01,T01,Integration,8500
2026-08-01,T01,Operations,8800
2026-08-01,T02,Security,5900
2026-08-01,T02,Analytics,6600
2026-08-01,T02,Integration,7100
2026-08-01,T02,Operations,8900
2026-08-01,T03,Security,5100
2026-08-01,T03,Analytics,5300
2026-08-01,T03,Integration,6700
2026-08-01,T03,Operations,6400
2026-08-01,T04,Security,3600
2026-08-01,T04,Analytics,4500
2026-08-01,T04,Integration,4500
2026-08-01,T04,Operations,5800
2026-09-01,T01,Security,8800
2026-09-01,T01,Analytics,8800
2026-09-01,T01,Integration,11400
2026-09-01,T01,Operations,11100
2026-09-01,T02,Security,7600
2026-09-01,T02,Analytics,8400
2026-09-01,T02,Integration,8700
2026-09-01,T02,Operations,10400
2026-09-01,T03,Security,6000
2026-09-01,T03,Analytics,6400
2026-09-01,T03,Integration,7100
2026-09-01,T03,Operations,7400
2026-09-01,T04,Security,4500
2026-09-01,T04,Analytics,4800
2026-09-01,T04,Integration,6100
2026-09-01,T04,Operations,7000
2026-10-01,T01,Security,8000
2026-10-01,T01,Analytics,10100
2026-10-01,T01,Integration,10200
2026-10-01,T01,Operations,13100
2026-10-01,T02,Security,7500
2026-10-01,T02,Analytics,8200
2026-10-01,T02,Integration,9500
2026-10-01,T02,Operations,10400
2026-10-01,T03,Security,5700
2026-10-01,T03,Analytics,7000
2026-10-01,T03,Integration,8600
2026-10-01,T03,Operations,7800
2026-10-01,T04,Security,5300
2026-10-01,T04,Analytics,5200
2026-10-01,T04,Integration,6800
2026-10-01,T04,Operations,7400
2026-11-01,T01,Security,9100
2026-11-01,T01,Analytics,11500
2026-11-01,T01,Integration,12100
2026-11-01,T01,Operations,14000
2026-11-01,T02,Security,8100
2026-11-01,T02,Analytics,10200
2026-11-01,T02,Integration,10300
2026-11-01,T02,Operations,12500
2026-11-01,T03,Security,6700
2026-11-01,T03,Analytics,7500
2026-11-01,T03,Integration,8100
2026-11-01,T03,Operations,10200
2026-11-01,T04,Security,5200
2026-11-01,T04,Analytics,6000
2026-11-01,T04,Integration,6500
2026-11-01,T04,Operations,7600
2026-12-01,T01,Security,9600
2026-12-01,T01,Analytics,12400
2026-12-01,T01,Integration,12700
2026-12-01,T01,Operations,14000
2026-12-01,T02,Security,8300
2026-12-01,T02,Analytics,9300
2026-12-01,T02,Integration,11300
2026-12-01,T02,Operations,12700
2026-12-01,T03,Security,7300
2026-12-01,T03,Analytics,9100
2026-12-01,T03,Integration,8900
2026-12-01,T03,Operations,11500
2026-12-01,T04,Security,6600
2026-12-01,T04,Analytics,6400
2026-12-01,T04,Integration,7700
2026-12-01,T04,Operations,8700
